chr	coordinate	ORF
chrII	28705	YBL100W-C
chrII	38922	YBL099W
chrII	40644	YBL098W
chrII	43308	YBL097W
chrII	44039	YBL093C
chrII	44207	YBL095W
chrII	46517	YBL092W
chrII	46559	YBL091C-A
chrII	47273	YBL091C
chrII	49477	YBL090W
chrII	50935	YBL088C
chrII	51261	YBL089W
chrII	59722	YBL087C
chrII	61155	YBL086C
chrII	66923	YBL084C
chrII	66929	YBL085W
chrII	69658	YBL082C
chrII	72965	YBL080C
chrII	73030	YBL081W
chrII	79852	YBL079W
chrII	80947	YBL076C
chrII	84418	YBL075C
chrII	88403	YBL072C
chrII	89446	YBL071C-B
chrII	90472	YBL071W-A
chrII	92111	YBL069W
chrII	93483	YBL068W
chrII	93523	YBL067C
chrII	96488	YBL066C
chrII	100299	YBL064C
chrII	105213	YBL061C
chrII	105317	YBL063W
chrII	109965	YBL059C-A
chrII	110039	YBL060W
chrII	111316	YBL059W
chrII	112734	YBL057C
chrII	112825	YBL058W
chrII	115479	YBL055C
chrII	115535	YBL056W
chrII	119310	YBL052C
chrII	119311	YBL054W
chrII	122603	YBL051C
chrII	126186	YBL050W
chrII	127751	YBL047C
chrII	133840	YBL045C
chrII	133931	YBL046W
chrII	136509	YBL044W
chrII	137644	YBL043W
chrII	138150	YBL042C
chrII	142012	YBL040C
chrII	142028	YBL041W
chrII	143700	YBL039W-B
chrII	143807	YBL039C
chrII	146947	YBL038W
chrII	150301	YBL036C
chrII	150403	YBL037W
chrII	151382	YBL035C
chrII	153698	YBL034C
chrII	158489	YBL033C
chrII	161532	YBL032W
chrII	162741	YBL030C
chrII	162874	YBL031W
chrII	164409	YBL029C-A
chrII	167433	YBL028C
chrII	167488	YBL029W
chrII	169460	YBL027W
chrII	171164	YBL026W
chrII	174708	YBL024W
chrII	174765	YBL023C
chrII	177798	YBL022C
chrII	181490	YBL021C
chrII	184214	YBL020W
chrII	185962	YBL018C
chrII	186030	YBL019W
chrII	186777	YBL017C
chrII	193647	YBL016W
chrII	195736	YBL015W
chrII	198947	YBL014C
chrII	205964	YBL010C
chrII	206019	YBL011W
chrII	209338	YBL009W
chrII	212279	YBL008W
chrII	212548	YBL007C
chrII	216405	YBL006C
chrII	220685	YBL005W
chrII	235202	YBL004W
chrII	235221	YBL003C
chrII	237078	YBL001C
chrII	237079	YBL002W
chrII	238872	YBR001C
chrII	241599	YBR002C
chrII	244273	YBR004C
chrII	244360	YBR003W
chrII	246731	YBR005W
chrII	248623	YBR007C
chrII	248645	YBR006W
chrII	252542	YBR008C
chrII	255209	YBR009C
chrII	256902	YBR010W
chrII	257000	YBR011C
chrII	265340	YBR013C
chrII	266529	YBR014C
chrII	267571	YBR015C
chrII	270773	YBR017C
chrII	270836	YBR016W
chrII	274283	YBR018C
chrII	276151	YBR019C
chrII	280655	YBR020W
chrII	283434	YBR021W
chrII	284300	YBR023C
chrII	284426	YBR022W
chrII	290477	YBR025C
chrII	290580	YBR024W
chrII	292761	YBR026C
chrII	294249	YBR028C
chrII	296241	YBR029C
chrII	300119	YBR030W
chrII	301347	YBR031W
chrII	304740	YBR034C
chrII	306170	YBR035C
chrII	308887	YBR036C
chrII	310495	YBR037C
chrII	314971	YBR038W
chrII	316688	YBR039W
chrII	320346	YBR042C
chrII	320417	YBR041W
chrII	321771	YBR043C
chrII	324268	YBR044C
chrII	328027	YBR045C
chrII	330248	YBR046C
chrII	332461	YBR047W
chrII	334020	YBR048W
chrII	334141	YBR049C
chrII	338663	YBR052C
chrII	339541	YBR053C
chrII	344360	YBR054W
chrII	344509	YBR055C
chrII	349428	YBR056W
chrII	352089	YBR057C
chrII	353516	YBR058C
chrII	356153	YBR058C-A
chrII	356762	YBR059C
chrII	360609	YBR060C
chrII	364634	YBR061C
chrII	365878	YBR062C
chrII	366867	YBR063C
chrII	368276	YBR065C
chrII	369948	YBR066C
chrII	371984	YBR067C
chrII	373642	YBR068C
chrII	376429	YBR069C
chrII	379178	YBR070C
chrII	381321	YBR071W
chrII	382769	YBR072C-A
chrII	382840	YBR072W
chrII	386050	YBR073W
chrII	389331	YBR074W
chrII	391577	YBR077C
chrII	394894	YBR078W
chrII	395294	YBR079C
chrII	398464	YBR080C
chrII	401105	YBR081C
chrII	406461	YBR082C
chrII	410704	YBR083W
chrII	414069	YBR084C-A
chrII	414073	YBR084W
chrII	417077	YBR085W
chrII	418548	YBR085C-A
chrII	420078	YBR086C
chrII	424889	YBR087W
chrII	424923	YBR088C
chrII	426015	YBR089C-A
chrII	426015	YBR090C
chrII	427061	YBR091C
chrII	427647	YBR092C
chrII	429492	YBR093C
chrII	434314	YBR095C
chrII	434402	YBR094W
chrII	436781	YBR096W
chrII	441394	YBR097W
chrII	443743	YBR101C
chrII	443745	YBR098W
chrII	444956	YBR102C
chrII	449364	YBR103W
chrII	450721	YBR105C
chrII	450740	YBR104W
chrII	453364	YBR106W
chrII	457724	YBR109C
chrII	457852	YBR108W
chrII	460318	YBR110W
chrII	461107	YBR111C
chrII	462642	YBR112C
chrII	462742	YBR111W-A
chrII	469611	YBR115C
chrII	469679	YBR114W
chrII	474235	YBR117C
chrII	479137	YBR118W
chrII	480375	YBR120C
chrII	480467	YBR119W
chrII	481261	YBR121C
chrII	483774	YBR122C
chrII	484677	YBR123C
chrII	487061	YBR125C
chrII	488774	YBR126C
chrII	491103	YBR127C
chrII	492798	YBR128C
chrII	494219	YBR129C
chrII	495479	YBR130C
chrII	499352	YBR131W
chrII	499352	YBR132C
chrII	501663	YBR133C
chrII	505510	YBR135W
chrII	512970	YBR136W
chrII	513613	YBR138C
chrII	513680	YBR137W
chrII	517223	YBR139W
chrII	517239	YBR140C
chrII	526864	YBR141C
chrII	530645	YBR142W
chrII	530735	YBR143C
chrII	534918	YBR145W
chrII	536318	YBR146W
chrII	537494	YBR147W
chrII	539787	YBR148W
chrII	541118	YBR149W
chrII	541143	YBR150C
chrII	546108	YBR151W
chrII	548241	YBR153W
chrII	548266	YBR154C
chrII	550927	YBR156C
chrII	551018	YBR155W
chrII	553418	YBR157C
chrII	558348	YBR158W
chrII	559815	YBR159W
chrII	561068	YBR160W
chrII	562899	YBR162C
chrII	563028	YBR161W
chrII	565526	YBR162W-A
chrII	567536	YBR163W
chrII	567773	YBR164C
chrII	569731	YBR165W
chrII	569753	YBR166C
chrII	571400	YBR167C
chrII	573739	YBR169C
chrII	573780	YBR168W
chrII	576214	YBR170C
chrII	579012	YBR172C
chrII	579065	YBR171W
chrII	581582	YBR173C
chrII	583458	YBR175W
chrII	584684	YBR177C
chrII	584803	YBR176W
chrII	586491	YBR179C
chrII	591630	YBR181C
chrII	593200	YBR182C
chrII	597128	YBR183W
chrII	599004	YBR185C
chrII	599077	YBR184W
chrII	603530	YBR188C
chrII	603614	YBR187W
chrII	605578	YBR189W
chrII	607242	YBR191W
chrII	608847	YBR193C
chrII	609055	YBR192W
chrII	610490	YBR195C
chrII	610565	YBR194W
chrII	612072	YBR196C
chrII	613887	YBR196C-A
chrII	616036	YBR198C
chrII	620431	YBR199W
chrII	622749	YBR200W
chrII	624245	YBR201C-A
chrII	624335	YBR201W
chrII	628474	YBR202W
chrII	631993	YBR204C
chrII	632172	YBR203W
chrII	635014	YBR205W
chrII	636572	YBR208C
chrII	636682	YBR207W
chrII	646031	YBR211C
chrII	646217	YBR210W
chrII	650110	YBR212W
chrII	651315	YBR213W
chrII	653191	YBR214W
chrII	655283	YBR216C
chrII	655425	YBR215W
chrII	658591	YBR218C
chrII	658720	YBR217W
chrII	662856	YBR220C
chrII	664909	YBR221C
chrII	666606	YBR222C
chrII	668424	YBR223C
chrII	673514	YBR227C
chrII	673585	YBR225W
chrII	676226	YBR229C
chrII	676321	YBR228W
chrII	679461	YBR230C
chrII	680707	YBR230W-A
chrII	682140	YBR231C
chrII	684839	YBR233W
chrII	685360	YBR234C
chrII	685468	YBR233W-A
chrII	690267	YBR236C
chrII	690360	YBR235W
chrII	694611	YBR237W
chrII	695093	YBR238C
chrII	698265	YBR239C
chrII	700261	YBR240C
chrII	702522	YBR241C
chrII	705389	YBR243C
chrII	705453	YBR242W
chrII	708054	YBR245C
chrII	708136	YBR244W
chrII	712887	YBR247C
chrII	712894	YBR246W
chrII	714736	YBR248C
chrII	716794	YBR249C
chrII	720684	YBR250W
chrII	722394	YBR251W
chrII	723127	YBR252W
chrII	723567	YBR254C
chrII	723727	YBR253W
chrII	726507	YBR255C-A
chrII	726607	YBR255W
chrII	727322	YBR256C
chrII	729666	YBR258C
chrII	729781	YBR257W
chrII	732537	YBR260C
chrII	732588	YBR259W
chrII	734704	YBR261C
chrII	735606	YBR262C
chrII	737733	YBR264C
chrII	737806	YBR263W
chrII	739687	YBR265W
chrII	741142	YBR267W
chrII	741716	YBR268W
chrII	742004	YBR269C
chrII	742723	YBR270C
chrII	746178	YBR272C
chrII	746277	YBR271W
chrII	747954	YBR273C
chrII	751216	YBR275C
chrII	751338	YBR274W
chrII	757544	YBR276C
chrII	760991	YBR278W
chrII	762608	YBR280C
chrII	762712	YBR279W
chrII	764860	YBR281C
chrII	768791	YBR283C
chrII	768801	YBR282W
chrII	773800	YBR284W
chrII	776379	YBR286W
chrII	777946	YBR288C
chrII	777968	YBR287W
chrII	782442	YBR289W
chrII	783627	YBR291C
chrII	783661	YBR290W
chrII	788645	YBR293W
chrII	796520	YBR296C
chrII	796621	YBR295W
chrII	802166	YBR297W
chrII	802544	YBR298C
chrII	810283	YBR302C
chrIII	12297	YCL067C
chrIII	15712	YCL064C
chrIII	18624	YCL061C
chrIII	18693	YCL063W
chrIII	22318	YCL059C
chrIII	23904	YCL057C-A
chrIII	23990	YCL058W-A
chrIII	26897	YCL056C
chrIII	27035	YCL057W
chrIII	29019	YCL055W
chrIII	33985	YCL052C
chrIII	34078	YCL054W
chrIII	37662	YCL051W
chrIII	37722	YCL050C
chrIII	39603	YCL049C
chrIII	41961	YCL048W-A
chrIII	43574	YCL047C
chrIII	44562	YCL045C
chrIII	46937	YCL044C
chrIII	48590	YCL043C
chrIII	52518	YCL040W
chrIII	54863	YCL038C
chrIII	54924	YCL039W
chrIII	57287	YCL037C
chrIII	60715	YCL035C
chrIII	60822	YCL036W
chrIII	62705	YCL033C
chrIII	62794	YCL034W
chrIII	64556	YCL031C
chrIII	64676	YCL032W
chrIII	65849	YCL030C
chrIII	68338	YCL029C
chrIII	71439	YCL028W
chrIII	73343	YCL026C-B
chrIII	73432	YCL027W
chrIII	74490	YCL026C-A
chrIII	75925	YCL025C
chrIII	82386	YCL024W
chrIII	84303	YCL021W-A
chrIII	92619	YCL017C
chrIII	94480	YCL016C
chrIII	101199	YCL012C
chrIII	101310	YCL014W
chrIII	101990	YCL011C
chrIII	104471	YCL009C
chrIII	105564	YCL008C
chrIII	107519	YCL005W-A
chrIII	108928	YCL005W
chrIII	110546	YCL002C
chrIII	110747	YCL004W
chrIII	112528	YCL001W
chrIII	117321	YCR002C
chrIII	119276	YCR003W
chrIII	119468	YCR004C
chrIII	120814	YCR005C
chrIII	125931	YCR007C
chrIII	130539	YCR008W
chrIII	130646	YCR009C
chrIII	132144	YCR010C
chrIII	133667	YCR011C
chrIII	139078	YCR014C
chrIII	139154	YCR012W
chrIII	141135	YCR015C
chrIII	144588	YCR017C
chrIII	144662	YCR016W
chrIII	148088	YCR018C
chrIII	153941	YCR020C
chrIII	154055	YCR019W
chrIII	154680	YCR020C-A
chrIII	155930	YCR021C
chrIII	158297	YCR023C
chrIII	160623	YCR024C
chrIII	162409	YCR024C-B
chrIII	162631	YCR024C-A
chrIII	163896	YCR026C
chrIII	167206	YCR027C
chrIII	170631	YCR028C
chrIII	172758	YCR028C-A
chrIII	173653	YCR030C
chrIII	177399	YCR031C
chrIII	186144	YCR032W
chrIII	190326	YCR033W
chrIII	191689	YCR035C
chrIII	191802	YCR034W
chrIII	194323	YCR037C
chrIII	194384	YCR036W
chrIII	197521	YCR038C
chrIII	199464	YCR039C
chrIII	201055	YCR042C
chrIII	201190	YCR040W
chrIII	206095	YCR043C
chrIII	206779	YCR044C
chrIII	207846	YCR045C
chrIII	209808	YCR046C
chrIII	210517	YCR047C
chrIII	213935	YCR048W
chrIII	214871	YCR051W
chrIII	216630	YCR052W
chrIII	218136	YCR054C
chrIII	218321	YCR053W
chrIII	220344	YCR057C
chrIII	223273	YCR059C
chrIII	224867	YCR060W
chrIII	227817	YCR061W
chrIII	231352	YCR065W
chrIII	233028	YCR067C
chrIII	233126	YCR066W
chrIII	240024	YCR071C
chrIII	240130	YCR069W
chrIII	240724	YCR072C
chrIII	242516	YCR073C
chrIII	247889	YCR075C
chrIII	248024	YCR073W-A
chrIII	249188	YCR076C
chrIII	249294	YCR075W-A
chrIII	250100	YCR077C
chrIII	254299	YCR079W
chrIII	259362	YCR082W
chrIII	259972	YCR084C
chrIII	260077	YCR083W
chrIII	263943	YCR087C-A
chrIII	264017	YCR086W
chrIII	266979	YCR088W
chrIII	272248	YCR090C
chrIII	272322	YCR089W
chrIII	276617	YCR092C
chrIII	286548	YCR093W
chrIII	288114	YCR095C
chrIII	288211	YCR094W
chrIII	293095	YCR096C
chrIII	294338	YCR097W
chrIII	296795	YCR098C
chrIII	300566	YCR099C
chrIII	304096	YCR102C
chrIII	310186	YCR105W
chrIII	315246	YCR107W
chrIV	8528	YDL246C
chrIV	17467	YDL243C
chrIV	21255	YDL241W
chrIV	26119	YDL240W
chrIV	26359	YDL239C
chrIV	28919	YDL238C
chrIV	32012	YDL237W
chrIV	33272	YDL235C
chrIV	33416	YDL236W
chrIV	34200	YDL234C
chrIV	38350	YDL233W
chrIV	38807	YDL231C
chrIV	38855	YDL232W
chrIV	43743	YDL230W
chrIV	46012	YDL229W
chrIV	46211	YDL227C
chrIV	50885	YDL226C
chrIV	54155	YDL224C
chrIV	54185	YDL225W
chrIV	60540	YDL222C
chrIV	66035	YDL219W
chrIV	67622	YDL218W
chrIV	67905	YDL217C
chrIV	68883	YDL216C
chrIV	70486	YDL215C
chrIV	74314	YDL214C
chrIV	77228	YDL213C
chrIV	79143	YDL211C
chrIV	79206	YDL212W
chrIV	86011	YDL209C
chrIV	88109	YDL208W
chrIV	89944	YDL207W
chrIV	92490	YDL206W
chrIV	92516	YDL205C
chrIV	95822	YDL203C
chrIV	95972	YDL204W
chrIV	99370	YDL202W
chrIV	100431	YDL200C
chrIV	100504	YDL201W
chrIV	101169	YDL199C
chrIV	103527	YDL198C
chrIV	104742	YDL197C
chrIV	111215	YDL195W
chrIV	114401	YDL194W
chrIV	115999	YDL193W
chrIV	117020	YDL192W
chrIV	118616	YDL191W
chrIV	118655	YDL190C
chrIV	123683	YDL189W
chrIV	123711	YDL188C
chrIV	130107	YDL185W
chrIV	130197	YDL184C
chrIV	130731	YDL183C
chrIV	134815	YDL182W
chrIV	135544	YDL181W
chrIV	137583	YDL180W
chrIV	139357	YDL179W
chrIV	141119	YDL177C
chrIV	141177	YDL178W
chrIV	144266	YDL175C
chrIV	144338	YDL176W
chrIV	145734	YDL174C
chrIV	149073	YDL171C
chrIV	149204	YDL173W
chrIV	158035	YDL170W
chrIV	160816	YDL168W
chrIV	160816	YDL167C
chrIV	163387	YDL166C
chrIV	164826	YDL164C
chrIV	164905	YDL165W
chrIV	169107	YDL160C-A
chrIV	169182	YDL161W
chrIV	170232	YDL160C
chrIV	174072	YDL157C
chrIV	174224	YDL159W
chrIV	178194	YDL155W
chrIV	181045	YDL153C
chrIV	181082	YDL154W
chrIV	184685	YDL150W
chrIV	187950	YDL148C
chrIV	188018	YDL149W
chrIV	192407	YDL147W
chrIV	194284	YDL146W
chrIV	194409	YDL145C
chrIV	198570	YDL144C
chrIV	201592	YDL142C
chrIV	201680	YDL143W
chrIV	205239	YDL140C
chrIV	205374	YDL141W
chrIV	211232	YDL139C
chrIV	215718	YDL138W
chrIV	217226	YDL137W
chrIV	218455	YDL136W
chrIV	218590	YDL135C
chrIV	219555	YDL134C
chrIV	221523	YDL133C-A
chrIV	223781	YDL133W
chrIV	226913	YDL132W
chrIV	228817	YDL131W
chrIV	229589	YDL130W-A
chrIV	230620	YDL130W
chrIV	234060	YDL128W
chrIV	236020	YDL127W
chrIV	236081	YDL126C
chrIV	238906	YDL125C
chrIV	241269	YDL124W
chrIV	244933	YDL121C
chrIV	245042	YDL122W
chrIV	246450	YDL119C
chrIV	246601	YDL120W
chrIV	251372	YDL117W
chrIV	253845	YDL116W
chrIV	253903	YDL115C
chrIV	256537	YDL113C
chrIV	263268	YDL111C
chrIV	263334	YDL112W
chrIV	264408	YDL110C
chrIV	268785	YDL108W
chrIV	270094	YDL106C
chrIV	270126	YDL107W
chrIV	273569	YDL104C
chrIV	273756	YDL105W
chrIV	275055	YDL103C
chrIV	280198	YDL101C
chrIV	280288	YDL102W
chrIV	282036	YDL100C
chrIV	284443	YDL098C
chrIV	284532	YDL099W
chrIV	285293	YDL097C
chrIV	289607	YDL095W
chrIV	292420	YDL093W
chrIV	293298	YDL091C
chrIV	293357	YDL092W
chrIV	294961	YDL090C
chrIV	298263	YDL088C
chrIV	298382	YDL089W
chrIV	300052	YDL087C
chrIV	302223	YDL085C-A
chrIV	302301	YDL086W
chrIV	305191	YDL085W
chrIV	306664	YDL084W
chrIV	306796	YDL083C
chrIV	309530	YDL082W
chrIV	309694	YDL081C
chrIV	310474	YDL080C
chrIV	312823	YDL079C
chrIV	315273	YDL078C
chrIV	316856	YDL077C
chrIV	320409	YDL076C
chrIV	323055	YDL075W
chrIV	323953	YDL074C
chrIV	329623	YDL073W
chrIV	329748	YDL072C
chrIV	333003	YDL069C
chrIV	333097	YDL070W
chrIV	333983	YDL067C
chrIV	336217	YDL065C
chrIV	336219	YDL066W
chrIV	338128	YDL063C
chrIV	338170	YDL064W
chrIV	340461	YDL061C
chrIV	343972	YDL059C
chrIV	344124	YDL060W
chrIV	351190	YDL058W
chrIV	352461	YDL057W
chrIV	355431	YDL055C
chrIV	355453	YDL056W
chrIV	359742	YDL054C
chrIV	361509	YDL053C
chrIV	362582	YDL052C
chrIV	364891	YDL051W
chrIV	366660	YDL048C
chrIV	371028	YDL047W
chrIV	372038	YDL046W
chrIV	372561	YDL045C
chrIV	372656	YDL045W-A
chrIV	373887	YDL044C
chrIV	375607	YDL043C
chrIV	376643	YDL042C
chrIV	378762	YDL040C
chrIV	381871	YDL039C
chrIV	387376	YDL036C
chrIV	389037	YDL035C
chrIV	392406	YDL033C
chrIV	397292	YDL031W
chrIV	399220	YDL030W
chrIV	400761	YDL029W
chrIV	400832	YDL028C
chrIV	403687	YDL027C
chrIV	405151	YDL025C
chrIV	408109	YDL024C
chrIV	413156	YDL022W
chrIV	415067	YDL020C
chrIV	415124	YDL021W
chrIV	417580	YDL019C
chrIV	422565	YDL018C
chrIV	425758	YDL015C
chrIV	425846	YDL017W
chrIV	428562	YDL014W
chrIV	430944	YDL012C
chrIV	431024	YDL013W
chrIV	433312	YDL010W
chrIV	434093	YDL008W
chrIV	439422	YDL007W
chrIV	440769	YDL005C
chrIV	440858	YDL006W
chrIV	443709	YDL004W
chrIV	446490	YDL003W
chrIV	446684	YDL002C
chrIV	449392	YDL001W
chrIV	450146	YDR001C
chrIV	453834	YDR002W
chrIV	455073	YDR003W
chrIV	455073	YDR003W-A
chrIV	456669	YDR005C
chrIV	456743	YDR004W
chrIV	458455	YDR006C
chrIV	462611	YDR007W
chrIV	465360	YDR009W
chrIV	470604	YDR011W
chrIV	473018	YDR012W
chrIV	473872	YDR013W
chrIV	476346	YDR014W
chrIV	478369	YDR016C
chrIV	478431	YDR014W-A
chrIV	478945	YDR017C
chrIV	483986	YDR019C
chrIV	487961	YDR022C
chrIV	488061	YDR021W
chrIV	491029	YDR023W
chrIV	492421	YDR025W
chrIV	492505	YDR026C
chrIV	494576	YDR027C
chrIV	497557	YDR028C
chrIV	501706	YDR030C
chrIV	503946	YDR032C
chrIV	504011	YDR031W
chrIV	509447	YDR033W
chrIV	509664	YDR034C
chrIV	521761	YDR034W-B
chrIV	523076	YDR035W
chrIV	523082	YDR036C
chrIV	527279	YDR038C
chrIV	527281	YDR037W
chrIV	531188	YDR039C
chrIV	535066	YDR040C
chrIV	540492	YDR042C
chrIV	540586	YDR041W
chrIV	542551	YDR043C
chrIV	547758	YDR045C
chrIV	547777	YDR044W
chrIV	548671	YDR046C
chrIV	553024	YDR047W
chrIV	555283	YDR049W
chrIV	555638	YDR050C
chrIV	556999	YDR051C
chrIV	558270	YDR052C
chrIV	561082	YDR054C
chrIV	564919	YDR056C
chrIV	565002	YDR055W
chrIV	567591	YDR058C
chrIV	567695	YDR057W
chrIV	569136	YDR059C
chrIV	573814	YDR060W
chrIV	575908	YDR061W
chrIV	578446	YDR062W
chrIV	579213	YDR063W
chrIV	580530	YDR064W
chrIV	581880	YDR066C
chrIV	582760	YDR067C
chrIV	584631	YDR069C
chrIV	584708	YDR068W
chrIV	587945	YDR070C
chrIV	588742	YDR071C
chrIV	589671	YDR072C
chrIV	593210	YDR073W
chrIV	596845	YDR074W
chrIV	598245	YDR075W
chrIV	602099	YDR078C
chrIV	602138	YDR077W
chrIV	603381	YDR079C-A
chrIV	603519	YDR079W
chrIV	607166	YDR080W
chrIV	607276	YDR081C
chrIV	612063	YDR082W
chrIV	613279	YDR084C
chrIV	613339	YDR083W
chrIV	614200	YDR085C
chrIV	616738	YDR086C
chrIV	617377	YDR087C
chrIV	618308	YDR088C
chrIV	624729	YDR090C
chrIV	624894	YDR089W
chrIV	626366	YDR091C
chrIV	630699	YDR092W
chrIV	636180	YDR093W
chrIV	640048	YDR097C
chrIV	640135	YDR096W
chrIV	644129	YDR098C
chrIV	654650	YDR099W
chrIV	655567	YDR101C
chrIV	655570	YDR100W
chrIV	661141	YDR104C
chrIV	661149	YDR103W
chrIV	665278	YDR105C
chrIV	667905	YDR106W
chrIV	668826	YDR107C
chrIV	673372	YDR109C
chrIV	673454	YDR108W
chrIV	677933	YDR111C
chrIV	678007	YDR110W
chrIV	680422	YDR113C
chrIV	682602	YDR116C
chrIV	682714	YDR115W
chrIV	683901	YDR117C
chrIV	688170	YDR118W
chrIV	690590	YDR119W
chrIV	691340	YDR120C
chrIV	691459	YDR119W-A
chrIV	694283	YDR121W
chrIV	698045	YDR122W
chrIV	701544	YDR124W
chrIV	704494	YDR126W
chrIV	709368	YDR127W
chrIV	713125	YDR128W
chrIV	713194	YDR129C
chrIV	715665	YDR130C
chrIV	716688	YDR131C
chrIV	718779	YDR132C
chrIV	722914	YDR135C
chrIV	730407	YDR137W
chrIV	733447	YDR139C
chrIV	734689	YDR141C
chrIV	734909	YDR140W
chrIV	740407	YDR142C
chrIV	741848	YDR143C
chrIV	744228	YDR144C
chrIV	748451	YDR146C
chrIV	748556	YDR145W
chrIV	753270	YDR147W
chrIV	753535	YDR148C
chrIV	763923	YDR150W
chrIV	763980	YDR151C
chrIV	766614	YDR152W
chrIV	766614	YDR153C
chrIV	768405	YDR155C
chrIV	770054	YDR156W
chrIV	771577	YDR158W
chrIV	775823	YDR159W
chrIV	778803	YDR160W
chrIV	780179	YDR162C
chrIV	780428	YDR161W
chrIV	781930	YDR164C
chrIV	782055	YDR163W
chrIV	786209	YDR166C
chrIV	786269	YDR165W
chrIV	790188	YDR167W
chrIV	791954	YDR168W
chrIV	792104	YDR169C
chrIV	795995	YDR170C
chrIV	807812	YDR171W
chrIV	810448	YDR173C
chrIV	810557	YDR172W
chrIV	813022	YDR174W
chrIV	813077	YDR175C
chrIV	816612	YDR176W
chrIV	817667	YDR177W
chrIV	818585	YDR179C
chrIV	818698	YDR178W
chrIV	820913	YDR179W-A
chrIV	825768	YDR181C
chrIV	825827	YDR180W
chrIV	829170	YDR182W
chrIV	829424	YDR182W-A
chrIV	830391	YDR184C
chrIV	830490	YDR183W
chrIV	831729	YDR185C
chrIV	832742	YDR186C
chrIV	838224	YDR188W
chrIV	840503	YDR189W
chrIV	840527	YDR190C
chrIV	843477	YDR192C
chrIV	843558	YDR191W
chrIV	845800	YDR194C
chrIV	848557	YDR194W-A
chrIV	850184	YDR196C
chrIV	850279	YDR195W
chrIV	852396	YDR198C
chrIV	852504	YDR197W
chrIV	854147	YDR200C
chrIV	856764	YDR202C
chrIV	857039	YDR201W
chrIV	859276	YDR204W
chrIV	861593	YDR205W
chrIV	864819	YDR207C
chrIV	864938	YDR206W
chrIV	870697	YDR208W
chrIV	871479	YDR210W
chrIV	887058	YDR211W
chrIV	888994	YDR212W
chrIV	892714	YDR213W
chrIV	894019	YDR214W
chrIV	899476	YDR217C
chrIV	905255	YDR219C
chrIV	909608	YDR221W
chrIV	911465	YDR222W
chrIV	914190	YDR224C
chrIV	916087	YDR225W
chrIV	917281	YDR226W
chrIV	921813	YDR227W
chrIV	921859	YDR228C
chrIV	926186	YDR231C
chrIV	926200	YDR229W
chrIV	929273	YDR232W
chrIV	929324	YDR233C
chrIV	933326	YDR234W
chrIV	935127	YDR236C
chrIV	935202	YDR235W
chrIV	937619	YDR237W
chrIV	937699	YDR238C
chrIV	940998	YDR239C
chrIV	943615	YDR240C
chrIV	948495	YDR243C
chrIV	952595	YDR244W
chrIV	954136	YDR245W
chrIV	955115	YDR246W
chrIV	957657	YDR248C
chrIV	957744	YDR247W
chrIV	958567	YDR249C
chrIV	963281	YDR251W
chrIV	963945	YDR253C
chrIV	966298	YDR255C
chrIV	966517	YDR254W
chrIV	969686	YDR257C
chrIV	971702	YDR258C
chrIV	974494	YDR259C
